Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
1987,Haywood Jeffires,North Carolina State,WR,74.10,191,9.00,33.00,,4.41,,,,9.99,9.99,
1987,Alfred Jenkins,Arizona,RB,75.30,218,10.25,32.00,,4.74,,31.0,116,4.49,9.99,
1987,Tim Jessie,Auburn,RB,71.30,190,9.50,31.25,,9.99,12,,,9.99,9.99,
1987,Tim Johnson,Penn State,DT,74.00,253,9.25,31.25,,5.03,20,25.0,100,4.56,9.99,
1987,Walter Johnson,Louisiana Tech,OLB,71.10,240,9.25,32.00,,4.54,22,29.5,116,4.36,9.99,11.33
1987,Walter Johnson,Pittsburgh,DT,73.00,257,9.50,31.25,,4.97,20,28.5,110,4.86,9.99,
1987,Will Johnson,Louisiana-Monroe,DE,76.00,232,9.75,33.25,,9.99,17,33.5,115,9.99,9.99,
1987,Dale Jones,Tennessee,ILB,73.10,223,9.50,29.75,,4.91,,25.0,101,4.55,9.99,12.64
1987,Leonard Jones,Texas Tech,FS,73.00,186,8.50,30.75,,4.64,9,31.5,113,4.33,9.99,11.80
1987,Nelson Jones,North Carolina State,FS,72.80,194,9.50,32.00,,4.64,6,,,9.99,9.99,
1987,Rod Jones,Washington,TE,75.30,246,10.00,32.50,,4.85,14,24.0,108,4.47,9.99,12.53
1987,Tim Jordan,Wisconsin,OLB,75.00,226,8.75,31.50,,4.60,21,28.5,112,4.20,9.99,11.42
1987,Chris Kelley,Akron,TE,75.00,242,10.00,31.50,,4.88,13,30.0,102,4.50,9.99,12.01
1987,Larry Kelm,Texas A&M;,OLB,75.80,221,8.50,31.75,,4.83,12,30.0,113,4.29,9.99,11.96
1987,Paul Kiser,Wake Forest,OG,75.60,277,9.50,30.75,,5.11,,26.0,93,4.95,9.99,
1987,Wally Kleine,Notre Dame,DE,80.40,299,10.25,35.00,,5.20,18,27.5,99,4.74,9.99,
1987,Shawn Knight,Brigham Young,DE,78.30,292,9.25,32.25,,9.99,23,,,9.99,9.99,
1987,Fred Lane,Georgia,WR,68.40,171,9.50,31.00,,4.48,2,25.0,109,4.36,9.99,11.93
1987,Gary Lee,Georgia Tech,WR,72.80,195,,,,4.53,4,31.5,117,9.99,9.99,
1987,John Little,Georgia,FS,73.30,199,9.25,30.00,,4.66,,29.0,113,4.19,9.99,11.65
1987,Charles Lockett,Long Beach State (CA),WR,70.60,175,8.75,30.00,,4.45,3,33.0,113,4.39,9.99,12.00
1987,Danny Lockett,Arizona,OLB,74.00,228,9.50,32.00,,4.83,21,30.5,120,4.39,9.99,12.18
1987,Joe Macesker,Texas-El Paso,OT,78.50,286,10.00,33.00,,5.23,22,25.5,106,5.01,9.99,
1987,Milton Mack,Alcorn State (MS),CB,70.60,186,9.75,30.00,,4.53,12,34.5,118,4.22,9.99,11.32
1987,Terence Mack,Clemson,OLB,75.00,239,8.50,31.50,,9.99,16,26.0,107,9.99,9.99,
1987,Don Majkowski,Virginia,QB,73.50,199,9.00,32.25,,4.83,,34.0,116,4.13,9.99,
1987,Massimo Manca,Penn State,K,69.60,206,8.75,29.00,,5.18,,21.0,91,4.73,9.99,
1987,Tim Manoa,Penn State,FB,72.00,232,9.25,31.50,,4.71,22,24.5,106,4.35,9.99,12.08
1987,Warren Marshall,James Madison (VA),FB,73.10,219,10.00,30.75,,4.68,14,26.5,111,4.56,9.99,12.19
1987,Willie Marshall,Temple,WR,73.50,183,,,,4.59,3,32.5,120,9.99,9.99,
1987,Kelvin Martin,Boston College,WR,69.00,160,,,,4.55,7,29.0,112,4.14,9.99,11.39
1987,Skip Mcclendon,Arizona State,DE,77.00,266,9.00,33.25,,5.12,12,28.0,112,4.52,9.99,
1987,David Mccluskey,Georgia,FB,72.00,221,9.25,31.50,,4.71,,22.5,101,4.37,9.99,12.06
1987,Tim Mcdonald,Southern California,SS,74.50,207,8.75,32.00,,4.72,6,33.0,122,4.27,9.99,11.78
1987,Thomas Mchale,Cornell (NY),DE,76.00,271,9.75,32.50,,5.21,,25.0,,4.61,9.99,
1987,Keith Mckeller,Jacksonville State (FL),TE,76.30,244,10.00,31.00,,4.84,16,31.0,111,4.63,9.99,12.70
1987,Ron Mclean,Cal-State Fullerton,DE,75.50,267,9.50,32.25,,4.99,20,24.0,114,4.68,9.99,
1987,Bruce Mesner,Maryland,DT,76.90,279,8.50,32.75,,9.99,20,,,9.99,9.99,
1987,Chris Miller,Oregon,QB,73.40,190,,,,4.74,,30.5,117,4.35,9.99,
